# t Temp Pres Epot Etot
58.150000 2.002910 1.236348 -1580.757145 -78.574932
58.200000 1.997754 1.491087 -1520.240800 -21.925166
58.250000 1.998970 1.296093 -1541.736836 -42.509650
58.300000 2.007759 1.145013 -1557.375625 -51.556744
58.350000 1.992326 1.023291 -1574.907073 -80.662279
58.400000 1.995904 0.921723 -1586.515671 -89.587877
58.450000 2.010338 0.799291 -1599.256669 -91.503272
58.500000 1.991547 0.791960 -1608.742625 -115.082078
58.550000 1.991021 1.072869 -1582.987152 -89.721129
58.600000 1.995650 1.327662 -1554.933405 -58.195620
58.650000 2.000650 1.264784 -1571.175878 -70.688137
58.700000 2.010911 1.090639 -1598.336627 -90.153093
58.750000 1.993835 1.235017 -1554.874796 -59.498459
58.800000 2.003763 0.962290 -1607.436981 -104.614985
58.850000 1.984381 1.216826 -1558.301619 -70.015848
58.900000 2.006230 1.267241 -1559.879237 -55.206916
58.950000 2.001655 1.360342 -1541.801853 -40.560366
59.000000 2.000655 1.229666 -1569.609214 -69.118046
59.050000 2.004603 1.189167 -1572.808231 -69.355941
59.100000 2.002981 1.323907 -1536.841549 -34.605473
59.150000 1.991129 1.120755 -1571.994790 -78.647698
59.200000 2.014024 0.925141 -1600.122888 -89.604989
59.250000 1.990971 0.980248 -1582.949315 -89.721315
59.300000 2.010041 0.936406 -1594.518441 -86.987951
59.350000 1.986895 1.209323 -1547.021275 -56.850348
59.400000 1.999620 1.174292 -1562.019596 -62.304513
59.450000 1.995489 1.256480 -1548.267623 -51.651062
59.500000 2.000527 1.206292 -1552.307228 -51.912266
59.550000 2.000070 0.973336 -1586.006164 -85.953478
59.600000 2.005337 0.947052 -1583.423545 -79.421117
59.650000 1.999526 0.946668 -1585.010394 -85.365821
59.700000 2.005686 1.036123 -1574.055853 -69.791330
59.750000 2.008833 0.916880 -1599.199165 -92.574648
59.800000 1.992564 0.854773 -1618.411963 -123.988811
59.850000 2.005927 0.941923 -1606.656108 -102.210596
59.900000 1.993895 0.884282 -1620.799391 -125.378366
59.950000 1.997026 1.074708 -1591.244299 -93.474707
60.000000 1.995712 0.654792 -1277.602961 219.180692
60.050000 1.998147 0.705981 -1260.362714 238.247784
60.100000 2.005578 0.604641 -1285.325506 218.858120
60.150000 1.999407 0.741761 -1260.904945 238.650249
60.200000 2.000352 0.749358 -1266.465783 233.798060
60.250000 1.997278 0.686049 -1273.577675 224.380779
60.300000 2.004395 0.520366 -1304.094671 199.201865
60.350000 1.989304 0.641158 -1268.663877 223.314390
60.400000 1.993054 0.645672 -1271.802027 222.988485
60.450000 1.999176 0.735707 -1250.074858 249.306830
60.500000 1.997587 0.581568 -1291.612084 206.578358
60.550000 1.993244 0.931813 -1215.426778 279.505895
60.600000 2.007069 0.673586 -1280.237238 225.064388
60.650000 2.001094 0.596362 -1290.514316 210.306536
60.700000 1.996729 0.646331 -1282.271872 215.275190
60.750000 1.998653 0.875259 -1232.622498 266.367299
60.800000 1.996966 0.714481 -1267.874309 229.849841
60.850000 2.000990 0.646887 -1276.118641 224.623617
60.900000 1.990362 0.708281 -1257.112775 235.658957
60.950000 2.011679 0.657876 -1269.475558 239.283734
61.000000 2.001969 0.566117 -1292.167423 209.309609
61.050000 1.998740 0.737070 -1249.897112 249.157518
61.100000 2.004265 0.532137 -1294.282339 208.916179
61.150000 1.995970 0.574962 -1284.447423 212.529740
61.200000 2.002519 0.642831 -1271.251552 230.637366
61.250000 2.005505 0.593542 -1278.079129 226.049861
61.300000 1.997098 0.528570 -1291.296034 206.527315
61.350000 1.993116 0.676488 -1257.733649 237.102979
61.400000 1.994086 0.803294 -1229.550750 266.013419
61.450000 2.005779 0.695606 -1254.683766 249.650776
61.500000 1.992773 0.673221 -1263.659021 230.921081
61.550000 1.998348 0.797374 -1242.062048 256.698679
61.600000 2.004774 0.807940 -1238.301275 265.279318
61.650000 1.997300 0.663141 -1270.755185 227.219950
61.700000 2.001410 0.731160 -1255.446103 245.611426
61.750000 1.990313 0.637728 -1281.200541 211.534343
61.800000 2.010451 0.680586 -1272.213064 235.625261
61.850000 1.991990 0.594112 -1292.993128 200.999048
61.900000 2.012075 0.671880 -1275.058451 233.998093
61.950000 2.003008 0.648799 -1283.589485 218.666428
62.000000 1.993766 0.758101 -1263.781339 231.543101
62.050000 2.008765 0.612985 -1296.356995 210.217085
62.100000 2.000055 0.623661 -1286.789814 213.251450
62.150000 1.998440 0.747399 -1256.895961 241.934105
62.200000 2.006834 0.682268 -1273.871075 231.254074
62.250000 1.992238 0.680459 -1281.023591 213.154811
62.300000 2.008408 0.815176 -1257.488029 248.817652
62.350000 1.992314 0.833588 -1257.365266 236.870428
62.400000 1.992052 0.852979 -1258.489259 235.549665
62.450000 1.990033 1.097684 -1196.243199 296.281435
62.500000 2.014556 0.838416 -1247.517601 263.399418
62.550000 1.999570 0.685530 -1268.050902 231.626449
62.600000 1.995664 0.656832 -1271.250165 225.497496
62.650000 1.999187 0.700462 -1259.436960 239.953634
62.700000 1.992660 0.647915 -1268.499623 225.995639
62.750000 1.998337 0.592217 -1283.867474 214.885106
62.800000 2.005461 0.668214 -1266.128270 237.967275
62.850000 1.994770 0.682502 -1263.207082 232.870656
62.900000 2.002730 0.624527 -1276.730460 225.317342
62.950000 2.004137 0.521628 -1300.480521 202.622438
63.000000 1.992986 0.667837 -1276.185758 218.553879
63.050000 1.998187 0.833600 -1253.600413 245.040133
63.100000 2.003409 0.750892 -1278.733462 223.823325
63.150000 1.991462 0.789423 -1273.391152 220.205313
